Question text,Option A,Option B,Option C,Correct Answer,
What is a string?,Numeric value,Text value,Boolean value,B,
What is a dictionary?,Unsorted list,Sorted list,Key value pairs,C,
What is an exception?,Error in code,No error in code,Warning in code,A,
What is a module?,Exported code file,Imported code file,Unrelated code file,B,
What is the and operator in python?,and,&&,AND,A,
What is the or operator in python?,OR,or,||,B,
How would you round 2.999 to 2 decimal places?,"round(float 2.99, 2)","round(2, 2.999)","round(2.999, 2)",C,
Which is an int value?,1.9,2.5,5,C,
Which langauge typically takes the least time to develop a program?,Java,Python,C++,B,
What keyword begins a python function block?,def,function,fn,A,
How do you type out a comment in python?,//,#,!,B,
Which is not a data type in python?,char,bool,list,A,
What is a difference between tuples and lists?,Lists are mutable while tuples are immutable,Nothing,Lists are faster,A,
Which is not a keyword in Python,if,break,deal,C,
How do you access an element of a list in Python by its index?,list(index),list{index},list[index],C,
What type of data structure is used to store a collection of items in Python?,Tuple,List,Dictionary,B,
What is the correct syntax for an if statement in Python?,if x = 10 then,if (x == 10),if x == 10:,C,
What langauge is Python built on?,C,C++,Java,B,
What are dictionaries most similar to in other languages?,hashsets,arrays,vectors,A,
What does the != operator mean in Python?,Greater than or equal to ,Equal to,Not equal to,C,
What function allows you to grab data from a user in Python?,input(),get(),data(),A,
Which data type can either be true or false?,Float,Boolean,String,B,
What are the variables called that are passed into a function?,Parameters,Initializers,Setters,A,
Which of the following Python objects are immutable?,Lists,Tuples,Sets,B,
What operator performs integer division?,/,//,\,B,
What would be the output of print(26 % 12)?,2,0,It would throw an error,A,
What does the multiline continuation character do?,Breaks a statement into multiple lines,Adds a return inbetween lines,Splits the statement into seperate arguments,A,
What operator concatenates two strings?,",",+,/,B,
"In the range function of a for loop in python, is the last number inclusive, exclusive, or other?",Inclusive,Exclusive,Other,B,
What function gives the items stored in a dictionary in python? (Both keys and values in list as tuple.),dict.values(),dictionary.keysandvalues(),dictionary.items(),C,
What is the correct way to declare a class?,def class:,def Class Slope:,class Slope:,C,
Which correctly turns a string (with values seperated by a single white space) into a list?,string.list(),string.split(),string.array(),B,
Are strings mutable or immutable?,Mutable,Immutable,Neither,B,
When does an IndexError exception occur?,When you use an index in the strings range,You use an index out of the strings range, attempting to run without any index,B,
What is the function used to obtain the length of a string?,length(string),len(str),len(string),C,
"In C++, what character does a preprocessor directive begin with?",!,*,#,C,
"In C++, which member function is used to skip one or more characters in the keyboard buffer?",cin.get(),cin.ignore,cin.clear(),B,
"In C++, which formatting command displayes a variable to two decimal places?",cout<<setprecision(2)<<fixed<<var<<endl;,cout<<setprecision(2)<<var<<endl;,cout<<setw(2)<<var<<endl;,A,
"In C++, which member function accepts an argument assigned to the width member variable?",setWidth,getWidth,intWidth,A,
"In bash, what is the command to assign a user 'Tim' to the secondary group 'student'.",$sudo usermod -a -g Tim student,$sudo usermod -a -G student Tim,$sudo usermod -a -G Tim student,B,
"In bash, what file are users recorded in?",/etc/password,/etc/shadow,/etc/group,A,
"In bash, what file are user passwords stored in?",/etc/password,/etc/shadow,/etc/group,B,
In Python what does Pass do?,Pass a value to a function.,Continue the program after an exception is caught.,Terminate a loop.,B,
In HTML what does querySelector() do?,Create a query,Select elements by tag,,B,
What does GPU stand for?,Graphics Processing Unit,Graphics Performance Unit,,A,
How many Megabytes are in a Gigabyte?,2048,500,1024,C,
What does LAN stand for?,Local Arena Network,Light Area Network,Local Area Network,C,
What does DMA stand for? ,Directional Mapping Area,Direct Memory Access,Direct Mainstream Arena ,B,
What is the binary programming language called that computers respond to directly?,Blockchain,Machine Code,Microcosm,B,
True or false: Python is a compiled language?,TRUE,FALSE,,B,
Which is NOT a real operating system?,Windows 8,MacOS,Fedora Linux,C,
How many bits are in a byte?,2,8,10,B,
